titulo,duracion,genero,streamer,plataforma,categoria
Coding Session Java,180,Educación,CodeMaster,Twitch,Programacion
Gaming Marathon,240,Entretenimiento,GamerPro,YouTube,Gaming
Music Production Live,150,Música,BeatMaker,Twitch,Produccion
Drawing Tutorial,120,Arte,ArtistLive,YouTube,Dibujo
Chess Tournament,300,Deportes,ChessMaster,Twitch,Ajedrez
Cooking Show,90,Cocina,ChefLive,YouTube,Gastronomia
Tech Talk Live,120,Tecnología,TechGuru,Twitch,Tecnologia
Fitness Workout,60,Deportes,FitCoach,YouTube,Fitness
Language Learning,90,Educación,PolyglotLive,Twitch,Idiomas
DIY Projects,150,Hogar,HandyPerson,YouTube,Bricolaje
